customer_id,segment,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,rationale,analyzed_at,created_at
12346,이탈위험 고객,325,12,77556.46,2,5,5,255,"마지막 구매 후 325일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 12회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £77,556.46이며, 최근성 점수 2점, 구매빈도 점수 5점, 구매금액 점수 5점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12347,우수고객,2,8,4921.53,5,4,5,545,"마지막 구매 후 2일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 8회, 총 구매금액은 £4,921.53입니다. 최근성 점수 5점, 구매빈도 점수 4점, 구매금액 점수 5점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12348,충성고객,75,5,1658.3999999999999,3,4,4,344,"마지막 구매 후 75일이 지났고, 총 구매 횟수는 5회로 반복 구매 성향이 강합니다. 총 구매금액은 £1,658.40이며, 최근성 점수 3점, 구매빈도 점수 4점, 구매금액 점수 4점 기준으로 충성고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12349,일반고객,18,3,3678.69,5,3,5,535,"마지막 구매 후 18일이 지났고, 총 구매 횟수는 3회, 총 구매금액은 £3,678.69입니다. 최근성 점수 5점, 구매빈도 점수 3점, 구매금액 점수 5점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12350,일반고객,310,1,294.40000000000003,2,1,2,212,"마지막 구매 후 310일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £294.40입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12351,일반고객,375,1,300.93,2,1,2,212,"마지막 구매 후 375일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £300.93입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 2점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12352,우수고객,36,9,1729.54,4,5,4,454,"마지막 구매 후 36일밖에 지나지 않아 최근 구매 이력이 뚜렷하고, 총 구매 횟수는 9회, 총 구매금액은 £1,729.54입니다. 최근성 점수 4점, 구매빈도 점수 5점, 구매금액 점수 4점이 모두 높은 수준이므로 우수고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12353,이탈위험 고객,204,2,406.76,2,2,2,222,"마지막 구매 후 204일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 2회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £406.76이며, 최근성 점수 2점, 구매빈도 점수 2점, 구매금액 점수 2점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12354,일반고객,232,1,1079.4,2,1,3,213,"마지막 구매 후 232일이 지났고, 총 구매 횟수는 1회, 총 구매금액은 £1,079.40입니다. 최근성 점수 2점, 구매빈도 점수 1점, 구매금액 점수 3점 기준으로 볼 때 신규, 이탈위험, 우수, 충성 조건에 명확히 해당하지 않아 일반고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
12355,이탈위험 고객,214,2,947.61,2,2,3,223,"마지막 구매 후 214일이 지나 최근 구매가 오래된 편입니다. 다만 총 구매 횟수는 2회로 반복 구매 이력이 있었으나, 최근 구매가 끊긴 상태입니다. 총 구매금액은 £947.61이며, 최근성 점수 2점, 구매빈도 점수 2점, 구매금액 점수 3점 기준으로 이탈위험 고객으로 분류했습니다.",2026-06-22 21:06:47.472544+09:00,2026-06-22 21:06:47.472544+09:00
