customer_id,stock_code,similarity_score,rank,match_reason
12346,48194,0.899352,1,"{""co_purchased_with"": ""48188"", ""source"": ""동시구매"", ""segment_support"": 0.091362}"
12346,48184,0.890879,2,"{""co_purchased_with"": ""48187"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12346,48129,0.857895,3,"{""co_purchased_with"": ""48188"", ""source"": ""동시구매"", ""segment_support"": 0.04485}"
12347,22139,0.787203,1,"{""co_purchased_with"": ""22621"", ""source"": ""동시구매"", ""segment_support"": 0.297972}"
12347,22197,0.780663,2,"{""co_purchased_with"": ""84991"", ""source"": ""동시구매"", ""segment_support"": 0.195008}"
12347,84692,0.778282,3,"{""co_purchased_with"": ""84992"", ""source"": ""동시구매"", ""segment_support"": 0.152886}"
12348,21212,0.848829,1,"{""co_purchased_with"": ""21977"", ""source"": ""동시구매"", ""segment_support"": 0.249645}"
12348,22417,0.84743,2,"{""co_purchased_with"": ""22951"", ""source"": ""동시구매"", ""segment_support"": 0.107801}"
12348,21975,0.807055,3,"{""co_purchased_with"": ""84992"", ""source"": ""동시구매"", ""segment_support"": 0.12766}"
12349,22507,0.801319,1,"{""co_purchased_with"": ""22558"", ""source"": ""동시구매"", ""segment_support"": 0.033002}"
12349,22139,0.785216,2,"{""co_purchased_with"": ""20914"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12349,48187,0.765755,3,"{""co_purchased_with"": ""48184"", ""source"": ""동시구매"", ""segment_support"": 0.041139}"
12350,22174,0.782761,1,"{""co_purchased_with"": ""21832"", ""source"": ""동시구매"", ""segment_support"": 0.014919}"
12350,21172,0.745697,2,"{""co_purchased_with"": ""21908"", ""source"": ""동시구매"", ""segment_support"": 0.029385}"
12350,21179,0.741464,3,"{""co_purchased_with"": ""22412"", ""source"": ""동시구매"", ""segment_support"": 0.016727}"
12351,21498,0.784192,1,"{""co_purchased_with"": ""22045"", ""source"": ""동시구매"", ""segment_support"": 0.031646}"
12351,21497,0.746551,2,"{""co_purchased_with"": ""22045"", ""source"": ""동시구매"", ""segment_support"": 0.020344}"
12351,21499,0.745812,3,"{""co_purchased_with"": ""22051"", ""source"": ""동시구매"", ""segment_support"": 0.023508}"
12352,22666,0.845544,1,"{""co_purchased_with"": ""22720"", ""source"": ""동시구매"", ""segment_support"": 0.26209}"
12352,85123A,0.834242,2,"{""co_purchased_with"": ""21754"", ""source"": ""동시구매"", ""segment_support"": 0.420437}"
12352,20914,0.83173,3,"{""co_purchased_with"": ""22197"", ""source"": ""동시구매"", ""segment_support"": 0.216849}"
12353,37448,0.836243,1,"{""co_purchased_with"": ""37447"", ""source"": ""동시구매"", ""segment_support"": 0.039867}"
12353,22055,0.827162,2,"{""co_purchased_with"": ""37446"", ""source"": ""동시구매"", ""segment_support"": 0.054817}"
12353,22059,0.81828,3,"{""co_purchased_with"": ""22649"", ""source"": ""동시구매"", ""segment_support"": 0.034884}"
12354,22328,0.808147,1,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.028933}"
12354,84997B,0.802293,2,"{""co_purchased_with"": ""84997D"", ""source"": ""동시구매"", ""segment_support"": 0.03481}"
12354,22139,0.801768,3,"{""co_purchased_with"": ""22138"", ""source"": ""동시구매"", ""segment_support"": 0.089964}"
12355,21232,0.76274,1,"{""co_purchased_with"": ""22649"", ""source"": ""동시구매"", ""segment_support"": 0.14701}"
12355,21231,0.746488,2,"{""co_purchased_with"": ""22649"", ""source"": ""동시구매"", ""segment_support"": 0.097176}"
12355,22061,0.738744,3,"{""co_purchased_with"": ""37449"", ""source"": ""동시구매"", ""segment_support"": 0.041528}"
12356,21210,0.804286,1,"{""co_purchased_with"": ""84987"", ""source"": ""동시구매"", ""segment_support"": 0.186427}"
12356,21977,0.802718,2,"{""co_purchased_with"": ""84991"", ""source"": ""동시구매"", ""segment_support"": 0.265991}"
12356,84988,0.792515,3,"{""co_purchased_with"": ""84987"", ""source"": ""동시구매"", ""segment_support"": 0.130265}"
12357,20914,0.765318,1,"{""co_purchased_with"": ""22667"", ""source"": ""동시구매"", ""segment_support"": 0.044643}"
12357,21770,0.738491,2,"{""co_purchased_with"": ""23168"", ""source"": ""동시구매"", ""segment_support"": 0.037946}"
12357,22558,0.737672,3,"{""co_purchased_with"": ""22666"", ""source"": ""동시구매"", ""segment_support"": 0.044643}"
12358,22055,0.791826,1,"{""co_purchased_with"": ""22061"", ""source"": ""동시구매"", ""segment_support"": 0.085023}"
12358,47580,0.763962,2,"{""co_purchased_with"": ""37449"", ""source"": ""동시구매"", ""segment_support"": 0.052262}"
12358,37446,0.76284,3,"{""co_purchased_with"": ""37449"", ""source"": ""동시구매"", ""segment_support"": 0.063963}"
12359,22558,0.775752,1,"{""co_purchased_with"": ""22993"", ""source"": ""동시구매"", ""segment_support"": 0.195788}"
12359,22139,0.772345,2,"{""co_purchased_with"": ""21889"", ""source"": ""동시구매"", ""segment_support"": 0.297972}"
12359,20914,0.768427,3,"{""co_purchased_with"": ""22666"", ""source"": ""동시구매"", ""segment_support"": 0.216849}"
12360,21452,0.786053,1,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.085803}"
12360,21731,0.777277,2,"{""co_purchased_with"": ""22326"", ""source"": ""동시구매"", ""segment_support"": 0.163027}"
12360,20726,0.763551,3,"{""co_purchased_with"": ""22385"", ""source"": ""동시구매"", ""segment_support"": 0.24649}"
12361,22662,0.883122,1,"{""co_purchased_with"": ""22382"", ""source"": ""동시구매"", ""segment_support"": 0.037375}"
12361,20727,0.867749,2,"{""co_purchased_with"": ""22383"", ""source"": ""동시구매"", ""segment_support"": 0.098837}"
